TSDate,Month,Year,serieNames,sales
01-01-1900,3,2014,serie_2,5
02-01-1900,3,2014,serie_2,772
02-01-1900,3,2014,serie_1,2295
03-01-1900,3,2014,serie_2,834
03-01-1900,3,2014,serie_1,2327
04-01-1900,3,2014,serie_2,771
04-01-1900,3,2014,serie_1,2106
05-01-1900,3,2014,serie_2,748
05-01-1900,3,2014,serie_1,2021
06-01-1900,3,2014,serie_1,2254
06-01-1900,3,2014,serie_2,785
07-01-1900,3,2014,serie_2,559
07-01-1900,3,2014,serie_1,1627
08-01-1900,3,2014,serie_1,0
08-01-1900,3,2014,serie_2,5
09-01-1900,3,2014,serie_1,1898
09-01-1900,3,2014,serie_2,650
10-01-1900,3,2014,serie_2,768
10-01-1900,3,2014,serie_1,2183
11-01-1900,3,2014,serie_1,2096
11-01-1900,3,2014,serie_2,722
12-01-1900,3,2014,serie_1,1987
12-01-1900,3,2014,serie_2,718
13-01-1900,3,2014,serie_2,726
13-01-1900,3,2014,serie_1,2050
14-01-1900,3,2014,serie_1,1568
14-01-1900,3,2014,serie_2,520
15-01-1900,3,2014,serie_1,0
15-01-1900,3,2014,serie_2,5
16-01-1900,3,2014,serie_1,2243
16-01-1900,3,2014,serie_2,772
17-01-1900,3,2014,serie_1,2375
17-01-1900,3,2014,serie_2,769
18-01-1900,3,2014,serie_1,2116
18-01-1900,3,2014,serie_2,723
19-01-1900,3,2014,serie_1,1972
19-01-1900,3,2014,serie_2,685
20-01-1900,3,2014,serie_1,2001
20-01-1900,3,2014,serie_2,697
21-01-1900,3,2014,serie_2,655
21-01-1900,3,2014,serie_1,2047
22-01-1900,3,2014,serie_1,2
22-01-1900,3,2014,serie_2,5
23-01-1900,3,2014,serie_2,1093
23-01-1900,3,2014,serie_1,3173
24-01-1900,3,2014,serie_2,1024
24-01-1900,3,2014,serie_1,3002
25-01-1900,3,2014,serie_1,2796
25-01-1900,3,2014,serie_2,907
26-01-1900,3,2014,serie_1,2843
26-01-1900,3,2014,serie_2,946
27-01-1900,3,2014,serie_2,978
27-01-1900,3,2014,serie_1,2999
28-01-1900,3,2014,serie_1,2156
28-01-1900,3,2014,serie_2,744
29-01-1900,3,2014,serie_2,5
29-01-1900,3,2014,serie_1,0
30-01-1900,3,2014,serie_2,903
30-01-1900,3,2014,serie_1,2811
